City,Price,Address,Number_Beds,Number_Baths,Province,Population,Latitude,Longitude,Median_Family_Income
Toronto,779900,#318 -20 SOUTHPORT ST,3,2,Ontario,5647656,43.7417,-79.3733,97000
Toronto,799999,#818 -60 SOUTHPORT ST,3,1,Ontario,5647656,43.7417,-79.3733,97000
Toronto,799900,#714 -859 THE QUEENSWAY,2,2,Ontario,5647656,43.7417,-79.3733,97000
Toronto,1200000,275 MORTIMER AVE,4,2,Ontario,5647656,43.7417,-79.3733,97000
Toronto,668800,#420 -388 RICHMOND ST,1,1,Ontario,5647656,43.7417,-79.3733,97000
Toronto,548000,#2503 -99 HARBOUR SQ,0,1,Ontario,5647656,43.7417,-79.3733,97000
Toronto,669900,#817 -151 DAN LECKIE WAY,2,1,Ontario,5647656,43.7417,-79.3733,97000
Toronto,699000,#1107 -438 KING ST W,2,2,Ontario,5647656,43.7417,-79.3733,97000
Toronto,978000,#2708 -20 EDWARD ST,3,2,Ontario,5647656,43.7417,-79.3733,97000
Toronto,958000,#4616 -386 YONGE ST,2,2,Ontario,5647656,43.7417,-79.3733,97000
Toronto,1899000,#2713 -155 YORKVILLE AVE,2,3,Ontario,5647656,43.7417,-79.3733,97000
Toronto,559900,#1113 -80 MILL ST,2,1,Ontario,5647656,43.7417,-79.3733,97000
Toronto,498800,#517 -55 EAST LIBERTY ST,1,1,Ontario,5647656,43.7417,-79.3733,97000
Toronto,1450000,45 BARTLETT AVE,4,2,Ontario,5647656,43.7417,-79.3733,97000
Toronto,650000,##1902 -1926 LAKE SHORE BLVD W,2,1,Ontario,5647656,43.7417,-79.3733,97000
Toronto,745000,##812 -103 THE QUEENSWAY,2,2,Ontario,5647656,43.7417,-79.3733,97000
Toronto,784900,#106 -10 WILBY CRES,3,2,Ontario,5647656,43.7417,-79.3733,97000
Toronto,998000,3065 WESTON RD,4,2,Ontario,5647656,43.7417,-79.3733,97000
Toronto,989900,468 MILVERTON BLVD,4,2,Ontario,5647656,43.7417,-79.3733,97000
Toronto,1099000,#1816 -35 MERCER ST,3,2,Ontario,5647656,43.7417,-79.3733,97000
Toronto,459900,#2311 -170 SUMACH ST N,0,1,Ontario,5647656,43.7417,-79.3733,97000
Toronto,590000,#1720 -36 LISGAR ST W,2,2,Ontario,5647656,43.7417,-79.3733,97000
Toronto,899900,#2 -350 GERRARD ST E,2,2,Ontario,5647656,43.7417,-79.3733,97000
Toronto,585000,#205 -133 WYNFORD DR,2,1,Ontario,5647656,43.7417,-79.3733,97000
Toronto,899000,117 WYNDCLIFF CRES,3,2,Ontario,5647656,43.7417,-79.3733,97000
Toronto,488000,#1213 -195 REDPATH AVE,1,1,Ontario,5647656,43.7417,-79.3733,97000
Toronto,650000,#801 -100 HAYDEN ST,2,2,Ontario,5647656,43.7417,-79.3733,97000
Toronto,498000,#812 -600 FLEET ST,2,1,Ontario,5647656,43.7417,-79.3733,97000
Toronto,499900,#202 -1030 KING ST W,0,1,Ontario,5647656,43.7417,-79.3733,97000
Toronto,1595000,15 LAURIER AVE,3,3,Ontario,5647656,43.7417,-79.3733,97000
Toronto,718000,#5008 -2221 YONGE ST,1,1,Ontario,5647656,43.7417,-79.3733,97000
Toronto,1350000,#1203 -63 ST CLAIR AVE W,2,2,Ontario,5647656,43.7417,-79.3733,97000
Toronto,499900,#626 -231 FORT YORK BLVD,0,1,Ontario,5647656,43.7417,-79.3733,97000
Toronto,999000,#1808 -126 SIMCOE ST,3,2,Ontario,5647656,43.7417,-79.3733,97000
Toronto,819000,#909 -51 TROLLEY CRES,2,1,Ontario,5647656,43.7417,-79.3733,97000
Toronto,639000,#2709 -290 ADELAIDE ST W,1,1,Ontario,5647656,43.7417,-79.3733,97000
Toronto,799900,#504 -12 BONNYCASTLE ST,3,2,Ontario,5647656,43.7417,-79.3733,97000
Toronto,789900,#507 -58 ORCHARD VIEW BLVD,2,2,Ontario,5647656,43.7417,-79.3733,97000
Toronto,549900,16 BROOKERS Lane,1,1,Ontario,5647656,43.7417,-79.3733,97000
Toronto,1149900,34 CYNTHIA RD,3,1,Ontario,5647656,43.7417,-79.3733,97000
Toronto,2699900,16 PRINCESS ANNE CRES,4,3,Ontario,5647656,43.7417,-79.3733,97000
Toronto,1299000,35 TROUTBROOKE DR,6,3,Ontario,5647656,43.7417,-79.3733,97000
Toronto,1588000,14 SYMONS ST,4,2,Ontario,5647656,43.7417,-79.3733,97000
Toronto,564000,#801 -17 MICHAEL POWER PL,1,1,Ontario,5647656,43.7417,-79.3733,97000
Toronto,1195000,51 LAPP ST,3,2,Ontario,5647656,43.7417,-79.3733,97000
Toronto,515000,#922 -15 JAMES FINLAY WAY,1,1,Ontario,5647656,43.7417,-79.3733,97000
Toronto,1298800,132 DORSET RD,5,2,Ontario,5647656,43.7417,-79.3733,97000
Toronto,1050000,#406 -1316 KINGSTON RD,2,2,Ontario,5647656,43.7417,-79.3733,97000
Toronto,1190000,21 COLLIP PL,3,4,Ontario,5647656,43.7417,-79.3733,97000
Toronto,2688000,395 BALLIOL ST,4,4,Ontario,5647656,43.7417,-79.3733,97000
Toronto,835500,#1010 -21 CARLTON ST,2,2,Ontario,5647656,43.7417,-79.3733,97000
Toronto,1295000,31 MARKHAM ST,4,2,Ontario,5647656,43.7417,-79.3733,97000
Toronto,699000,#417 -403 CHURCH ST,2,1,Ontario,5647656,43.7417,-79.3733,97000
Toronto,469900,#1113 -50 LYNN WILLIAMS ST,0,1,Ontario,5647656,43.7417,-79.3733,97000
Toronto,2388800,#4605 -180 UNIVERSITY AVE,3,3,Ontario,5647656,43.7417,-79.3733,97000
Toronto,681000,#4701 -8 EGLINTON AVE E,2,2,Ontario,5647656,43.7417,-79.3733,97000
Toronto,899000,#1205 -28 LINDEN ST,2,2,Ontario,5647656,43.7417,-79.3733,97000
Toronto,595000,#523 -270 WELLINGTON ST W,2,1,Ontario,5647656,43.7417,-79.3733,97000
Toronto,718000,#936 -8 HILLSDALE AVE E,2,2,Ontario,5647656,43.7417,-79.3733,97000
Toronto,599000,#509 -381 FRONT ST W,2,1,Ontario,5647656,43.7417,-79.3733,97000
Toronto,999900,#409 -55 ONTARIO ST,2,2,Ontario,5647656,43.7417,-79.3733,97000
Toronto,5800000,#5101 -1 YORKVILLE AVE,4,3,Ontario,5647656,43.7417,-79.3733,97000
Toronto,699900,#710 -55 ONTARIO ST,2,1,Ontario,5647656,43.7417,-79.3733,97000
Toronto,649000,#1906 -460 ADELAIDE ST E,1,1,Ontario,5647656,43.7417,-79.3733,97000
Toronto,439000,#506 -85 EMMETT AVE,2,1,Ontario,5647656,43.7417,-79.3733,97000
Toronto,998000,114 LEXFIELD AVE,4,2,Ontario,5647656,43.7417,-79.3733,97000
Toronto,879000,#26 -95 EASTWOOD PARK GDNS,2,3,Ontario,5647656,43.7417,-79.3733,97000
Toronto,499000,#105 -270 SCARLETT RD,1,1,Ontario,5647656,43.7417,-79.3733,97000
Toronto,1169000,43 ALESSIA CIRC,4,3,Ontario,5647656,43.7417,-79.3733,97000
Toronto,799900,#618 -250 MANITOBA ST,2,2,Ontario,5647656,43.7417,-79.3733,97000
Toronto,1139000,55 BURLINGAME RD,3,2,Ontario,5647656,43.7417,-79.3733,97000
Toronto,929000,48 PAPE AVE,3,2,Ontario,5647656,43.7417,-79.3733,97000
Toronto,859900,#404 -160 FALLINGBROOK RD,2,1,Ontario,5647656,43.7417,-79.3733,97000
Toronto,1080000,241 SCARBOROUGH GOLFCLUB RD,3,2,Ontario,5647656,43.7417,-79.3733,97000
Toronto,899000,27 VERNON RD,6,4,Ontario,5647656,43.7417,-79.3733,97000
Toronto,924900,#102 -2A QUEENSBURY AVE,2,2,Ontario,5647656,43.7417,-79.3733,97000
Toronto,1274900,93 GLENMOUNT PARK RD,3,2,Ontario,5647656,43.7417,-79.3733,97000
